Rank,Team Name,Average of Total Steps
1,P&E,"117,336"
2,Globo Gym,"115,049"
3,Baby got track,"106,485"
4,Two Blondes and a Redhead,"57,759"
5,Corn and company,"55,800"
6,Keep Going 4 Currin,"46,826"
7,Step Up,"46,208"
8,Maria and the O'Mollaghans,"44,688"
9,Sole Sisters,"40,188"
10,The Winners,"39,074"
11,BBO,"38,482"
12,Garden Hose,"36,310"
13,Jake Moore’s Team,"35,440"
14,BOCO,"34,712"
15,Silly Little Girls on Woodland,"34,552"
16,Woodland + Dads,"30,602"
17,Blister Sisters,"29,582"
18,Rewmeez,"26,792"
19,Team EDM,"25,674"
20,We runnnnin,"25,580"
21,Flanagan's Shenanigans,"24,949"
22,The Step Masters,"23,231"
23,Team Durbin/LaPorte,"20,720"
24,walk & roll,"20,527"
25,We keep going for Michael,"19,431"
26,COMPOUND,"15,044"
27,The sara(h)’s and Rachel,"12,173"
28,Nuggets on the Run,"11,873"
29,16 Lawnview,"6,351"
30,WheRe’s tHe FlaVor,"5,812"
